long,lat,"siruta","name","judet"
23.572095424722775,46.069179306239931,1026,"Alba Iulia","AB"
23.583292448308743,46.099008167254965,1035,"Bărăbanț","AB"
23.554155627273417,46.101118430850875,1044,"Micești","AB"
23.585029630195454,46.022425028897267,1053,"Oarda","AB"
23.523124690207649,46.046598043622673,1062,"Pîclișa","AB"
23.611290337909644,46.045768167010159,1080,"Ciugud","AB"
23.628564161433015,46.076296221602298,1099,"Drîmbar","AB"
23.596115979185697,46.039697065772813,1106,"Limba","AB"
23.666768259645707,46.079843860665981,1115,"Hăpria","AB"
23.626263095902196,46.0595834338774,1124,"Șeușa","AB"
23.629190965827068,46.088588087216941,1133,"Teleac","AB"
23.063490396903372,46.27454801321224,1160,"Abrud","AB"
23.059395892379392,46.281354647945314,1179,"Abrud-Sat","AB"
23.089327721826034,46.261176039530184,1188,"Gura Cornei","AB"
23.026594871766271,46.278076380027606,1197,"Soharu","AB"
23.71663592154621,46.310011904709931,1222,"Aiud","AB"
23.688944141187839,46.316240791976057,1231,"Aiudul de Sus","AB"
23.722300946093203,46.346233099195729,1240,"Gîmbaș","AB"
23.649221278530398,46.340328969863982,1259,"Măgina","AB"
23.743601460119471,46.340439205884302,1268,"Păgida","AB"
23.760643197488942,46.307805518432033,1277,"Ciumbrud","AB"
23.667996184098655,46.258773902085778,1286,"Gîrbova de Jos","AB"
23.622103905586883,46.292104026175558,1295,"Gîrbova de Sus","AB"
23.640290114268723,46.281648273525192,1302,"Gîrbovița","AB"
23.750511265382372,46.293648058718411,1311,"Sîncrai","AB"
23.692990775654451,46.257945907188549,1320,"Țifra","AB"
23.922899154411912,46.176791466605451,1357,"Blaj","AB"
23.85062922197698,46.095059604293915,1366,"Deleni-Obîrșie","AB"
23.86936815852475,46.113640869866494,1375,"Flitești","AB"
23.902194049067027,46.169818429376463,1384,"Izvoarele","AB"
23.917397729484435,46.193099889078567,1393,"Petrisat","AB"
23.887694343692829,46.159797383061573,1400,"Tiur","AB"
23.923125340405143,46.167182560199777,1419,"Veza","AB"
23.967037870596172,46.141291954479442,1428,"Mănărade","AB"
23.93918352241781,46.138301370700717,1437,"Spătac","AB"
23.051067375091378,46.364821601035672,1464,"Cîmpeni","AB"
23.0714562607509,46.360243487916676,1473,"Boncești","AB"
23.004793353368633,46.409384558422119,1482,"Borlești","AB"
23.004734253277626,46.383806261097682,1491,"Botești","AB"
23.024954373768086,46.413882291158515,1507,"Certege","AB"
23.052203034553916,46.412728231561545,1516,"Coasta Vîscului","AB"
23.091469319304846,46.357779447413634,1525,"Dănduț","AB"
23.058508752788576,46.375342509244973,1534,"Dealu Bistrii","AB"
23.066116815599855,46.404845962025774,1543,"Dealu Capsei","AB"
23.043748446007989,46.404250688260646,1552,"Dric","AB"
23.05749063257614,46.348605059656464,1561,"Fața Abrudului","AB"
23.018116148222092,46.390293113128614,1570,"Florești","AB"
23.077887914890304,46.335791219330495,1589,"Furduiești","AB"
23.025548430641745,46.369874882817093,1598,"Mihoești","AB"
23.041146958262001,46.376892204247113,1605,"Motorăști","AB"
23.031059531498663,46.444271007782412,1614,"Peste Valea Bistrii","AB"
23.047165078055155,46.350616589692493,1623,"Poduri","AB"
23.014348471457488,46.371472446138128,1632,"Sorlița","AB"
23.01273138881578,46.452099736480363,1641,"Tomușești","AB"
23.067012087798073,46.379788005468079,1650,"Valea Bistrii","AB"
23.032027752651082,46.398056411975404,1669,"Valea Caselor","AB"
23.073048910507811,46.357084364714808,1678,"Vîrși","AB"
23.37252703161079,45.835986406446509,1703,"Cugir","AB"
23.431364262140072,45.765700400427072,1712,"Bocșitura","AB"
23.39694069366757,45.788487125820012,1721,"Bucuru","AB"
23.435895817885761,45.832534783043656,1730,"Călene","AB"
23.344858320834199,45.80514052976325,1749,"Fețeni","AB"
23.461025866006612,45.777561872627196,1758,"Goașele","AB"
23.452696694215156,45.815870717228215,1767,"Mugești","AB"
23.351320847972051,45.886019865488805,1776,"Vinerea","AB"
23.844127612322996,46.386247755030226,1801,"Ocna Mureș","AB"
23.837047076752416,46.370581315797601,1810,"Uioara de Jos","AB"
23.880335723413268,46.389810454192343,1829,"Uioara de Sus","AB"
23.811488477125909,46.377203376215185,1838,"Cisteiu de Mureș","AB"
23.791679818621997,46.369833333210877,1847,"Micoșlaca","AB"
23.869999771821441,46.413060707662048,1856,"Războieni-Cetate","AB"
23.565556671088938,45.957636155555946,1883,"Sebeș","AB"
23.555082088839924,45.986780399022969,1892,"Lancrăm","AB"
23.559261873181576,45.920720656144816,1909,"Petrești","AB"
23.621065986490883,45.903133228783346,1918,"Răhău","AB"
23.223178728281773,46.111098350448955,1945,"Zlatna","AB"
23.149320037448774,46.180595183944796,1954,"Botești","AB"
23.125531177563357,46.189010036395231,1963,"Budeni","AB"
23.152614327358116,46.122769478784939,1972,"Dealu Roatei","AB"
23.138076355258331,46.173599858297052,1981,"Dobrot","AB"
23.189638972788778,46.139930358624127,1990,"Dumbrava","AB"
23.293532573082398,46.104006706768715,2005,"Feneș","AB"
23.291400720721636,46.089242052873033,2014,"Galați","AB"
23.173259302435213,46.146644989478887,2023,"Izvoru Ampoiului","AB"
23.262141369405178,46.089260147768201,2032,"Pătrîngeni","AB"
23.159899025612265,46.136062914307232,2041,"Pirita","AB"
23.183615800152861,46.154990815177008,2050,"Pîrau Gruiului","AB"
23.249311799520946,46.101061396612614,2069,"Podu lui Paul","AB"
23.219670381862876,46.191952860426944,2078,"Runc","AB"
23.108042599652947,46.212293223772875,2087,"Ruși","AB"
23.25172894705857,46.094168413393646,2096,"Suseni","AB"
23.148698794562552,46.14771723917989,2103,"Trîmpoiele","AB"
23.276832003878596,46.078565532856267,2112,"Valea Mică","AB"
23.214390785119861,46.144423291172821,2121,"Vîltori","AB"
22.963811767505796,46.448236313716322,2149,"Albac","AB"
22.986762177345827,46.459692798970543,2158,"Bărăști","AB"
22.972481102373397,46.477512686828291,2167,"Budăiești","AB"
22.983643254356231,46.471904543895356,2176,"Cionești","AB"
22.905081725240834,46.485608168368785,2185,"Costești","AB"
22.984799396168395,46.485802230841465,2194,"Dealu Lămășoi","AB"
22.93399880957223,46.461626049742229,2201,"Deve","AB"
22.942160313268293,46.435718447223238,2210,"După Pleșe","AB"
22.960520330370944,46.462865357896128,2229,"Fața","AB"
22.931408420931401,46.447098814860787,2238,"Pleșești","AB"
22.926810257481947,46.441300985633617,2247,"Potionci","AB"
22.959934532632651,46.427864071040361,2256,"Rogoz","AB"
22.930657121550336,46.477351333253161,2265,"Roșești","AB"
22.959212200938616,46.480157445023451,2274,"Rusești","AB"
22.946821691585605,46.47080184111249,2283,"Sohodol","AB"
22.924802286147546,46.447231537075766,2292,"Tamborești","AB"
23.129211268618665,46.097188877345523,2318,"Almașu Mare","AB"
23.104965388363098,46.066630104515106,2327,"Almașu de Mijloc","AB"
23.093571901828152,46.103881451750041,2336,"Brădet","AB"
23.18083563644522,46.036776092005091,2345,"Cheile Cibului","AB"
23.188657981724688,46.060777614011911,2354,"Cib","AB"
23.157387860386812,46.063382938983935,2363,"Glod","AB"
23.147755844480475,46.081164547850626,2372,"Nădăștia","AB"
22.754264672664554,46.476771876945037,2390,"Arieșeni","AB"
22.743939793170284,46.47947641141517,2407,"Avrămești","AB"
22.706833717324525,46.50659623106656,2416,"Bubești","AB"
22.782541106837712,46.534839785237878,2425,"Casa de Piatră","AB"
22.7345746621926,46.493601964079865,2434,"Cobleș","AB"
22.769196897053984,46.455265091156548,2443,"Dealu Bajului","AB"
22.761892927054863,46.491581792537609,2452,"Fața Cristesei","AB"
22.774685729490432,46.46889862474405,2461,"Fața Lăpușului","AB"
22.729863724368212,46.471125870458934,2470,"Galbena","AB"
22.7700275863893,46.517416795477693,2489,"Hodobana","AB"
22.721772803230127,46.483070615026456,2498,"Izlaz","AB"
22.776645939025727,46.476766572528035,2504,"Păntești","AB"
22.741763742973806,46.445980489232731,2513,"Pătrăhăițești","AB"
22.724837942112401,46.514667363955972,2522,"Poienița","AB"
22.775546025188454,46.483963214420129,2531,"Ravicești","AB"
22.793461894909523,46.468091127874068,2540,"Sturu","AB"
22.752452114161155,46.468240404117182,2559,"Ștei-Arieșeni","AB"
22.720465202561563,46.479426642783679,2568,"Vanvucești","AB"
22.824134670216406,46.357859718960178,2586,"Avram Iancu","AB"
22.802834771351954,46.384705870954392,2595,"Achimețești","AB"
22.82224446105386,46.391124128925341,2602,"Avrămești","AB"
22.75417054685575,46.408180602276943,2611,"Bădăi","AB"
22.836287701319044,46.342366531047617,2620,"Boldești","AB"
22.783851935181652,46.398758787803523,2639,"Călugărești","AB"
22.759144774337045,46.387685562562751,2648,"Căsoaia","AB"
22.765680353850296,46.415335449732538,2657,"Cîndești","AB"
22.832597792639774,46.377946188994159,2666,"Cîrăști","AB"
22.789402044754731,46.385950747660438,2675,"Cîrțulești","AB"
22.810710581777311,46.361024218524804,2684,"Cocești","AB"
22.810393724017128,46.373870331422914,2693,"Cocoșești","AB"
22.815681286292502,46.355997954154368,2700,"Coroiești","AB"
22.839565144533971,46.336677268330597,2719,"Dealu Crișului","AB"
22.837917377778499,46.368668548738164,2728,"Dolești","AB"
22.795669605888186,46.393757468709694,2737,"Dumăcești","AB"
22.827701625843858,46.380418562508922,2746,"Gojeiești","AB"
22.841180907148281,46.355427929400527,2755,"Helerești","AB"
22.854393409312419,46.35793497140164,2764,"Incești","AB"
22.831849906760709,46.348789770264879,2773,"Jojei","AB"
22.862149957519584,46.35836786628419,2782,"Mărtești","AB"
22.802185397441157,46.376233331710253,2791,"Orgești","AB"
22.851819952913679,46.373888869334301,2808,"Pătruțești","AB"
22.772469297089902,46.39811528503774,2817,"Plai","AB"
22.862290022204895,46.360782489669965,2826,"Pușelești","AB"
22.827375610161376,46.363015236506584,2835,"Șoicești","AB"
22.841676183281187,46.348111178169212,2844,"Ștertești","AB"
22.796491500587134,46.382028135721292,2853,"Tîrsa","AB"
22.777865196171732,46.392396878877797,2862,"Tîrsa-Plai","AB"
22.826925164997462,46.340542405731505,2871,"Valea Maciului","AB"
22.820988342073083,46.349348847730546,2880,"Valea Uțului","AB"
22.789849001139537,46.381954310508647,2899,"Verdești","AB"
22.825408230506191,46.342754674147969,2906,"Vidrișoara","AB"
23.281700949422675,46.380559692604258,2924,"Baia de Arieș","AB"
23.318311520598577,46.398201051885238,2933,"Brăzești","AB"
23.313563064214044,46.376199983952773,2942,"Cioara de Sus","AB"
23.255039711250582,46.374550505958894,2951,"Muncelu","AB"
23.296502253976257,46.390931761012034,2960,"Sartăș","AB"
