id,"cod_jud","denumire_uat","nr_sv","sediu",lat,long,"adresa"
9184,"OT","Bărăştii De Cepturi","OT129","Şcoala Generală Clasele I-IV.",44.7064586500,24.6307953900,"UAT: BĂRĂŞTI, Localitate: BĂRĂŞTII DE CEPTURI, Artera: Strada Principală Bărăştii de Cepturi, Nr: 111"
9185,"OT","Moţoeşti","OT130","Sediu Fostă Brigadă Agricolă",44.7226356000,24.6980441100,"UAT: BĂRĂŞTI, Localitate: MOŢOEŞTI, Artera: Strada Principală Moţoieşti, Nr: 77"
9186,"OT","Bobiceşti","OT133","CAMINUL CULTURAL BOBICESTI",44.3948241000,24.1402486800,"UAT: BOBICEŞTI, Localitate: BOBICEŞTI, Artera: Strada Bobiceşti, Nr: 52"
9187,"OT","Chinteşti","OT135","SCOALA GENERALA CHINTESTI",44.4060579900,24.1135170700,"UAT: BOBICEŞTI, Localitate: CHINTEŞTI, Artera: Strada Chinteşti, Nr: 76"
9188,"GL","ŞIviţa","GL415","Şcoala Veche Şiviţa",45.6131707800,28.0593869700,"UAT: TULUCEŞTI, Localitate: ŞIVIŢA, Artera: Strada Brateş, Nr: 2"
9189,"GL","Tătarca","GL413","SCOALA TATARCA",45.5976261800,28.0495452100,"UAT: TULUCEŞTI, Localitate: TĂTARCA"
9190,"GL","ŢEpu","GL416","SCOALA TUDOR PAMFILE",45.9672981600,27.3812246100,"UAT: ŢEPU, Localitate: ŢEPU"
9191,"GL","ŢEpu","GL417","GRĂDINIŢA PROFESOR IOAN BASOC",45.9748629800,27.3731882900,"UAT: ŢEPU, Localitate: ŢEPU"
9192,"GL","Umbrăreşti","GL418","ȘCOALA GIMNAZIALĂ NR. 1 UMBRĂREȘTI",45.7130709200,27.4682093800,"UAT: UMBRĂREŞTI, Localitate: UMBRĂREŞTI"
9193,"GL","Condrea","GL422","ȘCOALA GIMNAZIALĂ CONDREA",45.7076133100,27.4308998100,"UAT: UMBRĂREŞTI, Localitate: CONDREA"
9194,"GL","Salcia","GL423","ȘCOALA GIMNAZIALĂ SALCIA",45.6999026400,27.4376058500,"UAT: UMBRĂREŞTI, Localitate: SALCIA"
9195,"GL","Siliştea","GL424","ȘCOALA GIMNAZIALĂ SILIȘTEA",45.7281608500,27.4351379000,"UAT: UMBRĂREŞTI, Localitate: SILIŞTEA"
9196,"GL","Torceşti","GL421","ȘCOALA GIMNAZIALĂ TORCEȘTI",45.6947550500,27.4887810100,"UAT: UMBRĂREŞTI, Localitate: TORCEŞTI"
9197,"GL","Umbrăreşti-Deal","GL419","ȘCOALA GIMNAZIALĂ „ SFÂNTUL STELIAN UMBRĂREȘTI - DEAL",45.7140384500,27.4962176600,"UAT: UMBRĂREŞTI, Localitate: UMBRĂREŞTI-DEAL"
9198,"GL","Umbrăreşti-Deal","GL420","ȘCOALA GIMNAZIALĂ „ SFÂNTUL STELIAN„ UMBRĂREȘTI - DEAL",45.7140384500,27.4962176600,"UAT: UMBRĂREŞTI, Localitate: UMBRĂREŞTI-DEAL"
9199,"GL","Valea Mărului","GL426","ȘCOALA GIMNAZIALĂ NR. 1",45.8380482700,27.6903391700,"UAT: VALEA MĂRULUI, Localitate: VALEA MĂRULUI, Artera: Strada Preot Gheorghe Gafton, Nr: 9"
9200,"GL","Valea Mărului","GL427","ȘCOALA COASTA VĂII",45.8268241300,27.6839196300,"UAT: VALEA MĂRULUI, Localitate: VALEA MĂRULUI, Nr: 8"
9201,"GL","Valea Mărului","GL425","ȘCOALA GIMNAZIALĂ NR.1",45.8380482700,27.6903391700,"UAT: VALEA MĂRULUI, Localitate: VALEA MĂRULUI, Artera: Strada Preot Gheorghe Gafton"
9202,"GL","Mândreşti","GL428","ȘCOALA MÎNDRESTI",45.8830822700,27.7008081700,"UAT: VALEA MĂRULUI, Localitate: MÂNDREŞTI"
9203,"GL","Vânători","GL429","SCOALA SFINTUL NICOLAE",45.5297429700,28.0143138400,"UAT: VÂNĂTORI, Localitate: VÂNĂTORI, Artera: Strada Eroilor, Nr: 7"
9204,"GL","Vânători","GL430","SCOALA SFINTUL NICOLAE",45.5297429700,28.0143138400,"UAT: VÂNĂTORI, Localitate: VÂNĂTORI, Artera: Strada Eroilor, Nr: 7"
9205,"GL","Costi","GL432","Gradinita copii",45.4978862000,28.0128598100,"UAT: VÂNĂTORI, Localitate: COSTI, Nr: 23"
9206,"GL","Odaia Manolache","GL431","SCOALA Maria Grecu",45.5504210300,27.9879646600,"UAT: VÂNĂTORI, Localitate: ODAIA MANOLACHE, Nr: 2"
9207,"GL","Vârlezi","GL433","Scoala gimnazială Vîrlezi",45.8992912800,27.8487471700,"UAT: VÂRLEZI, Localitate: VÂRLEZI"
9208,"TM","Timişoara","TM191","Liceul Teoretic Jean Louis Calderon CORP A",45.7540931700,21.2431332700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Johann Heinrich Pestalozzi (Strada Heinrich Iohann Pestalozzi), Nr: 14"
9209,"TM","Timişoara","TM192","Liceul Teoretic Jean Louis Calderon CORP A",45.7540931700,21.2431332700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Johann Heinrich Pestalozzi (Strada Heinrich Iohann Pestalozzi), Nr: 14"
9210,"TM","Timişoara","TM193","Liceul Teoretic Jean Louis Calderon CORP A",45.7540931700,21.2431332700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Johann Heinrich Pestalozzi (Strada Heinrich Iohann Pestalozzi), Nr: 14"
9211,"TM","Timişoara","TM194","Liceul Teologic Penticostal Logos",45.7363498500,21.2024662900,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Transilvania, Nr: 10A"
9212,"TM","Timişoara","TM195","Liceul Teologic Penticostal Logos",45.7363498500,21.2024662900,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Transilvania, Nr: 10A"
9213,"TM","Timişoara","TM196","Liceul Teologic Penticostal Logos",45.7363498500,21.2024662900,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Transilvania, Nr: 10A"
9214,"TM","Timişoara","TM197","Liceul Teologic Penticostal Logos",45.7363498500,21.2024662900,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Transilvania, Nr: 10A"
9215,"TM","Timişoara","TM198","Şcoala Gimnazială nr.6 (Gradiniţa cu program prelungit nr. 30)",45.7378817200,21.1986945700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Vasile Lupu, Nr: 29/a"
9216,"TM","Timişoara","TM200","Colegiul Tehnic  Electrotimiş  ( Şcoala Gimnazială nr.20 )",45.7262695800,21.2682370700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Martir Constantin Radu (Strada Humuleşti), Nr: 23"
9217,"TM","Timişoara","TM112","Fundaţia Judeţeană Pentru Tineret Timiş (fosta Casa Tineretului)",45.7410824300,21.2396061700,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Strada Arieş, Nr: 19"
9218,"TM","Timişoara","TM128","Colegiul Tehnic Azur",45.7330918900,21.2367552200,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Calea Martirilor 1989 (Calea Girocului), Nr: 64"
9219,"TM","Timişoara","TM3","Liceul Pedagogic  Carmen Sylva",45.7541013900,21.2358485500,"UAT: MUNICIPIUL TIMIŞOARA, Localitate: TIMIŞOARA, Artera: Bulevardul Constantin Loga Diaconovici (Bulevardul Victoriei), Nr: 45"
9220,"TM","Blajova","TM478","Casa Naţională Blajova",45.5907583900,21.4854704200,"UAT: NIŢCHIDORF, Localitate: BLAJOVA, Nr: 53"
9221,"TM","Ohaba Lungă","TM480","Căminul cultural Ohaba Lungă",45.9071498600,21.9842392200,"UAT: OHABA LUNGĂ, Localitate: OHABA LUNGĂ, Nr: 36"
9222,"BH","Oradea","BH58","LICEUL ORTODOX EPISCOP ROMAN CIOROGARIU",47.0707899600,21.9112284100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Strada Aluminei, Nr: 88"
9223,"BH","Oradea","BH59","LICEUL ORTODOX EPISCOP ROMAN CIOROGARIU",47.0707899600,21.9112284100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Strada Aluminei, Nr: 88"
9224,"BH","Oradea","BH61","LICEUL ORTODOX EPISCOP ROMAN CIOROGARIU",47.0707899600,21.9112284100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Strada Aluminei, Nr: 88"
9225,"BH","Oradea","BH62","LICEUL ORTODOX EPISCOP ROMAN CIOROGARIU",47.0707899600,21.9112284100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Strada Aluminei, Nr: 88, Corp A, intrarea A"
9226,"BH","Oradea","BH63","LICEUL ORTODOX EPISCOP ROMAN CIOROGARIU",47.0707899600,21.9112284100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Strada Aluminei, Nr: 88, Corp A, intrarea A"
9227,"BH","Oradea","BH64","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 54",47.0726358000,21.9113570100,"UAT: MUNICIPIUL ORADEA, Localitate: ORADEA, Artera: Bulevardul Dacia (Şoseaua 6 Martie), Nr: 110"
9228,"BH","Ghida","BH245","CĂMINUL CULTURAL GHIDA",47.3107094000,22.4510950800,"UAT: BALC, Localitate: GHIDA, Nr: 94"
9229,"BH","Bratca","BH266","CENTRUL DE INFORMARE TURISTICĂ BRATCA",46.9266170000,22.6026370000,"UAT: BRATCA, Localitate: BRATCA, Nr: 144"
9230,"BH","Beznea","BH267","CĂMINUL CULTURAL",46.8663850200,22.5493002800,"UAT: BRATCA, Localitate: BEZNEA, Nr: 206"
9231,"BH","Valea Lui Mihai","BH207","ŞCOALA GIMNAZIALĂ VALEA LUI MIHAI",47.5180852700,22.1336967300,"UAT: ORAŞ VALEA LUI MIHAI, Localitate: VALEA LUI MIHAI, Artera: Strada Kálvin János (Strada 17 Octombrie), Nr: 5"
9232,"BH","Valea Lui Mihai","BH208","ŞCOALA GIMNAZIALĂ VALEA LUI MIHAI",47.5214499900,22.1320439500,"UAT: ORAŞ VALEA LUI MIHAI, Localitate: VALEA LUI MIHAI, Artera: Strada Republicii, Nr: 47"
9233,"BH","Vaşcău","BH213","CASA DE CULTURĂ",46.4703597300,22.4745572700,"UAT: ORAŞ VAŞCĂU, Localitate: VAŞCĂU, Artera: Strada Unirii, Nr: 75"
9234,"BH","Câmp","BH214","CĂMINUL CULTURAL",46.4671997000,22.4427792100,"UAT: ORAŞ VAŞCĂU, Localitate: CÂMP, Nr: 63"
9235,"BH","Câmp-Moţi","BH218","ŞCOALA GENERALĂ",46.4606394000,22.4124905100,"UAT: ORAŞ VAŞCĂU, Localitate: CÂMP-MOŢI, Nr: 20 A"
9236,"BH","Coleşti","BH215","CĂMINUL CULTURAL",46.4787821000,22.4246384100,"UAT: ORAŞ VAŞCĂU, Localitate: COLEŞTI, Nr: 43"
9237,"BH","Vărzarii De Jos","BH216","CĂMINUL CULTURAL",46.4884830000,22.4996536200,"UAT: ORAŞ VAŞCĂU, Localitate: VĂRZARII DE JOS, Nr: 123"
9238,"BH","Vărzarii De Sus","BH217","CĂMINUL CULTURAL",46.4734850300,22.5150504400,"UAT: ORAŞ VAŞCĂU, Localitate: VĂRZARII DE SUS, Nr: 19"
9239,"BH","Abram","BH219","PRIMĂRIA ABRAM",47.3223387000,22.3786928100,"UAT: ABRAM, Localitate: ABRAM, Nr: 35"
9240,"PH","Boldeşti","PH338","CĂMİN CULTURAL BOLDEŞTİ",44.8665761300,26.5497665400,"UAT: BOLDEŞTI-GRADIŞTEA, Localitate: BOLDEŞTI, Nr: 26"
9241,"PH","Gradiştea","PH339","ŞCOALA GİMNAZİALĂ COMUNA BOLDEŞTİ-GRADİŞTEA,CORP B",44.8868216600,26.5088541400,"UAT: BOLDEŞTI-GRADIŞTEA, Localitate: GRADIŞTEA, Nr: 95 B"
